,Day,inf_allcombined
0,2015-01-01,32746
1,2015-02-01,16025
2,2015-03-01,10996
3,2015-04-01,3981
4,2015-05-01,1444
5,2015-06-01,773
6,2015-07-01,342
7,2015-08-01,498
8,2015-09-01,518
9,2015-10-01,868
10,2015-11-01,1314
11,2015-12-01,2201
12,2016-01-01,6270
13,2016-02-01,32918
14,2016-03-01,34576
15,2016-04-01,13972
16,2016-05-01,4866
17,2016-06-01,839
18,2016-07-01,371
19,2016-08-01,598
20,2016-09-01,935
21,2016-10-01,1857
22,2016-11-01,3194
23,2016-12-01,14357
24,2017-01-01,45696
25,2017-02-01,55375
26,2017-03-01,34270
27,2017-04-01,13845
28,2017-05-01,4693
29,2017-06-01,1499
30,2017-07-01,993
31,2017-08-01,830
32,2017-09-01,1423
33,2017-10-01,3431
34,2017-11-01,8422
35,2017-12-01,43856
36,2018-01-01,118159
37,2018-02-01,75899
38,2018-03-01,26683
39,2018-04-01,13351
40,2018-05-01,1788
41,2018-06-01,511
42,2018-07-01,444
43,2018-08-01,462
44,2018-09-01,986
45,2018-10-01,2429
46,2018-11-01,4579
47,2018-12-01,29388
48,2019-01-01,40272
49,2019-02-01,68204
50,2019-03-01,57249
51,2019-04-01,17815
52,2019-05-01,2937
53,2019-06-01,1434
54,2019-07-01,1321
55,2019-08-01,1241
56,2019-09-01,2566
57,2019-10-01,3111
58,2019-11-01,14780
59,2019-12-01,68730
60,2020-01-01,83038
61,2020-02-01,88851
62,2020-03-01,37654
63,2020-04-01,382
64,2020-05-01,140
65,2020-06-01,98
66,2020-07-01,55
67,2020-08-01,68
68,2020-09-01,116
69,2020-10-01,257
70,2020-11-01,434
71,2020-12-01,469
72,2021-01-01,366
73,2021-02-01,224
74,2021-03-01,184
75,2021-04-01,109
76,2021-05-01,168
77,2021-06-01,104
78,2021-07-01,100
79,2021-08-01,157
80,2021-09-01,151
81,2021-10-01,665
82,2021-11-01,7605
83,2021-12-01,29674
84,2022-01-01,16026
85,2022-02-01,13319
86,2022-03-01,23152
87,2022-04-01,29355
88,2022-05-01,30252
89,2022-06-01,7151
90,2022-07-01,2126
91,2022-08-01,1912
92,2022-09-01,3664
93,2022-10-01,40659
94,2022-11-01,150351
95,2022-12-01,152001
96,2023-01-01,25865
97,2023-02-01,5033
98,2023-03-01,3763
99,2023-04-01,2862
100,2023-05-01,3296
101,2023-06-01,2004
102,2023-07-01,2109
103,2023-08-01,1790
104,2023-09-01,2528
105,2023-10-01,7759
106,2023-11-01,26491
107,2023-12-01,93409
108,2024-01-01,102873
109,2024-02-01,79560
110,2024-03-01,48036
111,2024-04-01,21634
112,2024-05-01,4726
113,2024-06-01,3009
114,2024-07-01,2589
115,2024-08-01,1647
116,2024-09-01,2653
117,2024-10-01,3908
118,2024-11-01,11711
119,2024-12-01,99489
120,2025-01-01,183699
121,2025-02-01,188218
122,2025-03-01,72776
123,2025-04-01,18261
124,2025-05-01,5925
125,2025-06-01,2767
126,2025-07-01,444
